event_id,event_time,customer_id,product_id,event_type,order_id
E001,2026-04-02T09:02:00,C001,P501,view,
E002,2026-04-02T09:05:00,C001,P501,add_to_cart,
E003,2026-04-02T09:10:00,C001,P501,purchase,O1001
E004,2026-04-02T11:20:00,C002,P505,view,
E005,2026-04-02T11:25:00,C002,P505,purchase,O1002
E006,2026-04-03T14:12:00,C003,P506,view,
E007,2026-04-03T14:30:00,C003,P506,purchase,O1003
E008,2026-04-04T10:02:00,C004,P501,view,
E009,2026-04-04T10:08:00,C004,P501,purchase,O1004
E010,2026-04-05T16:22:00,,P503,view,
E011,2026-04-10T12:03:00,C004,P504,add_to_cart,
E012,2026-04-10T12:11:00,C004,P504,purchase,O1009
E013,2026-04-12T19:41:00,C002,P501,view,
E014,2026-04-12T19:55:00,C002,P501,purchase,O1010
E015,2026-04-15T08:01:00,C006,P507,view,
E016,2026-04-15T08:12:00,C006,P507,purchase,O1012
