session_id,page,element,x,y,device
S000001,product_detail,coupon_banner,827,210,app
S000002,product_detail,main_image,406,441,desktop
S000002,product_detail,main_image,496,823,desktop
S000002,product_detail,thumbnails,135,730,desktop
S000002,product_detail,main_image,336,589,desktop
S000002,product_detail,main_image,343,517,desktop
S000003,product_detail,size_chart,834,709,app
S000003,product_detail,main_image,323,106,app
S000004,product_detail,main_image,413,733,mobile
S000004,product_detail,main_image,255,748,mobile
S000004,product_detail,reviews_tab,645,1250,mobile
S000004,product_detail,size_chart,855,701,mobile
S000004,product_detail,add_to_cart,1017,925,mobile
S000004,product_detail,reviews_tab,890,1250,mobile
S000004,product_detail,size_chart,811,711,mobile
S000008,product_detail,wishlist,1151,966,desktop
S000008,product_detail,main_image,386,498,desktop
S000009,product_detail,main_image,447,444,app
S000009,product_detail,main_image,388,674,app
S000009,product_detail,main_image,560,255,app
S000010,product_detail,reviews_tab,794,1224,mobile
S000010,product_detail,reviews_tab,616,1246,mobile
S000010,product_detail,add_to_cart,805,905,mobile
S000010,product_detail,main_image,477,556,mobile
S000011,product_detail,wishlist,1125,929,desktop
S000011,product_detail,main_image,592,658,desktop
S000011,product_detail,main_image,395,284,desktop
S000011,product_detail,reviews_tab,701,1234,desktop
S000013,product_detail,main_image,392,761,mobile
S000014,product_detail,main_image,420,230,mobile
S000014,product_detail,reviews_tab,832,1263,mobile
S000015,product_detail,reviews_tab,967,1281,desktop
S000016,product_detail,size_chart,944,712,mobile
S000016,product_detail,main_image,332,336,mobile
S000017,product_detail,main_image,343,567,mobile
S000019,product_detail,wishlist,1108,912,mobile
S000019,product_detail,reviews_tab,694,1239,mobile
S000021,product_detail,size_chart,878,726,mobile
S000021,product_detail,size_chart,912,704,mobile
S000021,product_detail,size_chart,832,700,mobile
S000021,product_detail,wishlist,1156,955,mobile
S000021,product_detail,main_image,270,280,mobile
S000022,product_detail,main_image,506,450,app
S000023,product_detail,main_image,206,634,mobile
S000023,product_detail,size_chart,968,722,mobile
