competitor,category,start_date,end_date,discount_rate
Brand A,outer,2026-06-01,2026-06-06,0.15
Brand A,outer,2026-03-05,2026-03-16,0.15
Brand A,top,2026-03-28,2026-04-04,0.4
Brand A,top,2026-03-12,2026-03-23,0.15
Brand A,bottom,2026-04-17,2026-04-20,0.3
Brand A,bottom,2026-04-18,2026-04-29,0.3
Brand A,dress,2026-06-08,2026-06-13,0.4
Brand A,dress,2026-02-20,2026-02-27,0.3
Brand A,bag,2026-01-26,2026-02-05,0.2
Brand A,bag,2026-04-20,2026-04-24,0.4
Brand B,outer,2026-01-27,2026-02-02,0.15
Brand B,outer,2026-01-25,2026-02-02,0.3
Brand B,top,2026-05-23,2026-05-28,0.3
Brand B,top,2026-04-07,2026-04-11,0.3
Brand B,bottom,2026-04-10,2026-04-20,0.15
Brand B,bottom,2026-02-14,2026-02-25,0.15
Brand B,dress,2026-06-07,2026-06-14,0.15
Brand B,dress,2026-04-28,2026-05-06,0.15
Brand B,bag,2026-06-02,2026-06-05,0.2
Brand B,bag,2026-03-24,2026-04-02,0.2
Brand C,outer,2026-01-31,2026-02-04,0.2
Brand C,outer,2026-04-24,2026-04-30,0.4
Brand C,top,2026-03-05,2026-03-10,0.2
Brand C,top,2026-04-30,2026-05-08,0.2
Brand C,bottom,2026-03-08,2026-03-15,0.3
Brand C,bottom,2026-05-01,2026-05-11,0.2
Brand C,dress,2026-01-22,2026-01-25,0.2
Brand C,dress,2026-02-21,2026-02-27,0.4
Brand C,bag,2026-05-31,2026-06-11,0.2
Brand C,bag,2026-03-26,2026-03-31,0.3
