customer_id,signup_date,gender,age_band,region,acquisition_channel,app_installed,push_opt_in,marketing_consent
C0001,2026-04-19,M,30s,Gyeonggi,referral,False,False,False
C0002,2026-04-26,F,20s,Other,sns,True,True,True
C0003,2025-10-03,M,50s,Seoul,paid_search,True,True,True
C0004,2026-02-12,F,20s,Other,referral,True,False,False
C0005,2025-07-07,F,40s,Other,organic,True,True,True
C0006,2025-12-23,M,30s,Busan,paid_search,True,True,True
C0007,2026-05-19,F,20s,Other,organic,False,False,True
C0008,2026-03-30,M,30s,Seoul,referral,True,True,True
C0009,2026-01-27,M,30s,Other,sns,True,True,False
C0010,2025-07-03,F,30s,Seoul,sns,False,False,True
C0011,2025-08-14,M,40s,Gyeonggi,sns,True,True,True
C0012,2026-02-14,F,20s,Gyeonggi,sns,False,False,True
C0013,2025-07-08,F,20s,Seoul,organic,True,False,True
C0014,2026-03-18,M,30s,Daegu,organic,False,False,True
C0015,2026-03-27,F,40s,Seoul,organic,False,False,True
C0016,2025-12-17,F,20s,Gyeonggi,organic,False,False,True
C0017,2026-05-29,F,20s,Busan,organic,False,False,True
C0018,2025-09-10,F,40s,Seoul,sns,True,True,True
C0019,2026-03-05,F,20s,Seoul,organic,True,False,True
C0020,2025-10-27,F,20s,Busan,referral,True,True,True
C0021,2025-12-03,F,20s,Gyeonggi,paid_search,False,False,True
C0022,2025-11-02,F,20s,Daegu,organic,False,False,False
C0023,2025-11-12,F,40s,Seoul,paid_search,False,False,True
C0024,2026-04-26,F,20s,Daegu,paid_search,False,False,True
C0025,2025-10-13,F,30s,Gyeonggi,paid_search,False,False,True
C0026,2026-03-31,M,30s,Other,sns,True,False,True
C0027,2025-11-11,F,40s,Seoul,referral,True,True,True
C0028,2025-08-18,F,20s,Gyeonggi,sns,True,False,False
C0029,2025-08-20,F,30s,Gyeonggi,paid_search,True,True,False
C0030,2025-08-14,F,20s,Seoul,paid_search,False,False,True
C0031,2026-02-14,F,20s,Seoul,organic,False,False,True
C0032,2025-08-12,M,20s,Seoul,paid_search,False,False,True
C0033,2026-05-30,M,40s,Seoul,referral,False,False,True
C0034,2026-03-27,F,40s,Seoul,organic,True,False,True
C0035,2025-07-18,M,20s,Other,paid_search,False,False,True
C0036,2026-05-13,F,30s,Seoul,organic,True,True,False
C0037,2025-09-20,F,40s,Gyeonggi,organic,True,True,True
C0038,2025-09-16,F,50s,Gyeonggi,paid_search,False,False,True
C0039,2026-04-17,F,30s,Gyeonggi,organic,False,False,True
C0040,2026-02-10,F,50s,Other,paid_search,False,False,True
C0041,2025-10-14,F,20s,Seoul,sns,False,False,True
C0042,2025-11-10,F,20s,Seoul,organic,False,False,True
C0043,2026-05-04,F,40s,Daegu,sns,True,False,True
C0044,2025-09-03,F,30s,Seoul,sns,True,True,True
C0045,2025-10-14,M,30s,Other,organic,False,False,True
C0046,2026-04-13,M,20s,Busan,sns,False,False,True
C0047,2026-03-16,F,30s,Seoul,organic,False,False,True
C0048,2026-01-11,F,20s,Gyeonggi,organic,False,False,True
C0049,2026-05-20,M,20s,Seoul,sns,True,True,True
C0050,2025-12-13,F,30s,Busan,paid_search,True,True,True
C0051,2025-07-31,M,20s,Other,paid_search,True,True,True
C0052,2025-09-25,F,30s,Other,paid_search,True,True,True
C0053,2026-03-23,F,40s,Gyeonggi,sns,True,True,True
C0054,2025-08-17,F,20s,Other,sns,False,False,True
C0055,2026-04-15,F,30s,Busan,organic,False,False,True
C0056,2026-04-02,F,30s,Seoul,sns,False,False,True
C0057,2026-05-01,M,20s,Seoul,organic,True,False,True
C0058,2026-01-23,F,50s,Seoul,sns,True,True,True
C0059,2026-02-07,M,30s,Other,organic,False,False,False
C0060,2025-12-22,F,30s,Gyeonggi,referral,False,False,True
C0061,2025-07-12,F,30s,Busan,sns,True,False,True
C0062,2025-12-15,M,30s,Other,organic,True,True,True
C0063,2026-04-28,F,30s,Daegu,sns,False,False,True
C0064,2025-11-09,F,30s,Seoul,sns,True,True,True
C0065,2025-11-01,F,20s,Daegu,sns,True,True,False
C0066,2025-09-10,F,20s,Gyeonggi,organic,True,False,True
C0067,2025-10-20,M,30s,Busan,organic,False,False,True
C0068,2025-11-23,M,20s,Other,sns,True,True,True
C0069,2025-08-08,F,30s,Gyeonggi,sns,False,False,True
C0070,2026-05-17,M,30s,Gyeonggi,organic,False,False,True
C0071,2026-05-31,F,50s,Busan,paid_search,False,False,True
C0072,2025-12-09,F,40s,Other,paid_search,True,True,True
C0073,2026-01-02,M,50s,Gyeonggi,referral,True,True,True
C0074,2025-09-14,F,30s,Seoul,organic,False,False,True
C0075,2025-11-12,M,40s,Other,paid_search,False,False,True
C0076,2025-12-12,F,40s,Seoul,sns,True,True,False
C0077,2025-08-28,F,40s,Seoul,paid_search,True,True,True
C0078,2026-04-11,M,20s,Busan,organic,True,False,True
C0079,2025-08-29,M,30s,Seoul,organic,False,False,True
C0080,2026-01-09,F,30s,Seoul,sns,True,True,True
C0081,2026-04-21,M,20s,Seoul,sns,False,False,True
C0082,2026-01-18,M,30s,Busan,paid_search,True,False,True
C0083,2026-05-13,F,20s,Busan,organic,False,False,True
C0084,2025-10-24,M,20s,Gyeonggi,organic,False,False,True
C0085,2025-09-22,M,20s,Gyeonggi,paid_search,False,False,True
C0086,2026-01-21,F,20s,Seoul,paid_search,False,False,True
C0087,2026-03-24,M,50s,Other,organic,False,False,True
C0088,2026-04-06,M,30s,Gyeonggi,sns,False,False,True
C0089,2025-12-06,F,50s,Busan,paid_search,True,True,True
C0090,2025-10-06,M,40s,Other,referral,True,False,True
C0091,2025-11-26,F,20s,Seoul,organic,False,False,True
C0092,2025-10-08,F,30s,Seoul,organic,False,False,True
C0093,2025-08-11,F,30s,Daegu,referral,False,False,True
C0094,2025-12-15,F,30s,Seoul,organic,False,False,True
C0095,2025-07-10,F,20s,Gyeonggi,paid_search,True,True,True
C0096,2026-02-25,M,20s,Gyeonggi,paid_search,True,False,True
C0097,2025-11-08,F,30s,Busan,organic,False,False,False
C0098,2025-12-03,F,20s,Seoul,sns,True,True,False
C0099,2026-03-13,F,30s,Seoul,paid_search,True,False,False
C0100,2026-05-05,F,20s,Busan,organic,False,False,False
C0101,2025-09-24,M,30s,Busan,paid_search,True,False,True
C0102,2025-07-26,M,40s,Seoul,paid_search,True,False,True
C0103,2025-07-24,F,40s,Busan,paid_search,False,False,True
C0104,2025-10-10,F,30s,Daegu,paid_search,True,True,False
C0105,2026-03-18,F,20s,Other,organic,False,False,True
C0106,2026-04-14,F,40s,Seoul,sns,True,True,True
C0107,2025-07-07,M,40s,Daegu,referral,True,False,True
C0108,2025-08-03,F,30s,Other,organic,True,True,True
C0109,2025-12-16,M,20s,Daegu,organic,True,True,True
C0110,2026-01-11,F,30s,Seoul,sns,True,False,True
C0111,2025-11-24,M,30s,Busan,referral,True,False,True
C0112,2026-01-21,F,20s,Daegu,sns,False,False,True
C0113,2025-11-30,F,20s,Other,sns,False,False,True
C0114,2026-05-03,F,50s,Seoul,paid_search,True,True,True
C0115,2026-04-30,F,50s,Seoul,paid_search,True,True,True
C0116,2026-03-18,F,40s,Gyeonggi,referral,False,False,True
C0117,2025-11-11,F,30s,Gyeonggi,organic,True,False,True
C0118,2026-04-22,F,50s,Seoul,organic,False,False,True
C0119,2025-08-22,M,50s,Gyeonggi,paid_search,True,True,True
C0120,2025-10-14,M,20s,Gyeonggi,organic,True,True,True
C0121,2025-07-28,F,20s,Seoul,sns,False,False,True
C0122,2026-03-17,F,40s,Seoul,sns,False,False,True
C0123,2025-07-24,M,40s,Gyeonggi,organic,False,False,True
C0124,2025-11-04,M,30s,Seoul,organic,True,True,True
C0125,2026-02-16,M,20s,Gyeonggi,referral,False,False,True
C0126,2026-02-11,F,30s,Gyeonggi,sns,True,True,True
C0127,2026-03-13,F,50s,Seoul,sns,True,False,True
C0128,2026-03-22,M,40s,Seoul,organic,False,False,False
C0129,2026-02-19,M,40s,Gyeonggi,paid_search,True,True,True
C0130,2026-04-24,M,30s,Gyeonggi,organic,True,True,True
C0131,2025-10-12,M,30s,Busan,organic,True,True,True
C0132,2025-12-15,F,20s,Other,paid_search,False,False,True
C0133,2025-08-30,F,30s,Seoul,sns,False,False,True
C0134,2026-03-12,F,20s,Seoul,referral,False,False,False
C0135,2026-02-06,M,50s,Gyeonggi,paid_search,True,True,True
C0136,2026-02-09,M,30s,Gyeonggi,sns,True,True,False
C0137,2026-02-05,F,20s,Gyeonggi,organic,False,False,True
