event_id,event_time,session_id,customer_id,event_type,product_id,detail,device,variant
E000001,2026-01-01T17:46:00,S000001,C0587,session_start,,direct,app,
E000002,2026-01-01T17:46:08,S000001,C0587,search,,발레코어|0,app,
E000003,2026-01-01T17:46:14,S000001,C0587,view_category,,outer,app,
E000004,2026-01-01T17:47:30,S000001,C0587,view_item,P013,,app,
E000005,2026-01-01T12:15:00,S000002,,session_start,,search_ad,desktop,
E000006,2026-01-01T12:15:05,S000002,,view_category,,bottom,desktop,
E000007,2026-01-01T12:15:24,S000002,,view_item,P043,,desktop,
E000008,2026-01-01T12:15:47,S000002,,view_item,P046,,desktop,
E000009,2026-01-01T12:16:50,S000002,,view_item,P054,,desktop,
E000010,2026-01-01T12:17:25,S000002,,view_item,P052,,desktop,
E000011,2026-01-01T12:51:00,S000003,C0182,session_start,,direct,app,
E000012,2026-01-01T12:51:24,S000003,C0182,view_category,,top,app,
E000013,2026-01-01T12:52:07,S000003,C0182,view_item,P020,,app,
E000014,2026-01-01T12:52:39,S000003,C0182,view_item,P040,,app,
E000015,2026-01-01T12:52:52,S000003,C0182,wishlist_add,P040,,app,
E000016,2026-01-01T12:53:10,S000003,C0182,add_to_cart,P040,,app,
E000017,2026-01-01T12:54:03,S000003,C0182,begin_checkout,P040,,app,
E000018,2026-01-01T09:24:00,S000004,C0186,session_start,,organic,mobile,
E000019,2026-01-01T09:24:38,S000004,C0186,search,,와이드 팬츠|24,mobile,
E000020,2026-01-01T09:25:00,S000004,C0186,view_category,,dress,mobile,
E000021,2026-01-01T09:25:14,S000004,C0186,apply_filter,,size=M,mobile,
E000022,2026-01-01T09:25:46,S000004,C0186,view_item,P061,,mobile,
E000023,2026-01-01T09:26:37,S000004,C0186,view_item,P061,,mobile,
E000024,2026-01-01T09:27:10,S000004,C0186,view_item,P064,,mobile,
E000025,2026-01-01T09:27:29,S000004,C0186,view_item,P063,,mobile,
E000026,2026-01-01T09:28:37,S000004,C0186,view_item,P064,,mobile,
E000027,2026-01-01T09:29:30,S000004,C0186,view_item,P064,,mobile,
E000028,2026-01-01T08:56:00,S000005,,session_start,,organic,mobile,
E000029,2026-01-01T08:56:29,S000005,,view_category,,bottom,mobile,
E000030,2026-01-01T08:57:39,S000005,,view_item,P043,,mobile,
E000031,2026-01-01T10:58:00,S000006,,session_start,,direct,desktop,
E000032,2026-01-01T10:58:24,S000006,,search,,가디건|20,desktop,
E000033,2026-01-01T10:58:29,S000006,,view_category,,top,desktop,
E000034,2026-01-01T10:58:48,S000006,,apply_filter,,category=bag,desktop,
E000035,2026-01-01T10:59:56,S000006,,view_item,P040,,desktop,
E000036,2026-01-01T16:09:00,S000007,C0206,session_start,,direct,desktop,
E000037,2026-01-01T16:09:18,S000007,C0206,view_category,,outer,desktop,
E000038,2026-01-01T16:09:33,S000007,C0206,apply_filter,,category=top,desktop,
E000039,2026-01-01T16:10:16,S000007,C0206,view_item,P008,,desktop,
E000040,2026-01-01T16:10:35,S000007,C0206,add_to_cart,P008,,desktop,
E000041,2026-01-01T16:11:30,S000007,C0206,begin_checkout,P008,,desktop,
