product_id,date,label
P017,2026-05-20,promo
P017,2026-05-21,promo
P017,2026-05-22,promo
P042,2026-06-10,influencer
P008,2026-04-05,stockout
P008,2026-04-06,stockout
P008,2026-04-07,stockout
P008,2026-04-08,stockout
P008,2026-04-09,stockout
P055,2026-06-01,trend
P055,2026-06-02,trend
P055,2026-06-03,trend
P055,2026-06-04,trend
P055,2026-06-05,trend
P055,2026-06-06,trend
P055,2026-06-07,trend
P055,2026-06-08,trend
P055,2026-06-09,trend
P055,2026-06-10,trend
P055,2026-06-11,trend
P055,2026-06-12,trend
P055,2026-06-13,trend
P055,2026-06-14,trend
P055,2026-06-15,trend
P055,2026-06-16,trend
P055,2026-06-17,trend
P055,2026-06-18,trend
P055,2026-06-19,trend
P055,2026-06-20,trend
P055,2026-06-21,trend
P055,2026-06-22,trend
P055,2026-06-23,trend
P055,2026-06-24,trend
P055,2026-06-25,trend
P055,2026-06-26,trend
P055,2026-06-27,trend
P055,2026-06-28,trend
P055,2026-06-29,trend
P055,2026-06-30,trend
