week_start,keyword,search_volume,product_count,competition
2026-01-01,와이드 팬츠,19059,2689,0.66
2026-01-08,와이드 팬츠,19799,2751,0.64
2026-01-15,와이드 팬츠,22286,1715,0.78
2026-01-22,와이드 팬츠,20467,2932,0.73
2026-01-29,와이드 팬츠,24103,2347,0.39
2026-02-05,와이드 팬츠,23626,180,0.85
2026-02-12,와이드 팬츠,25922,687,0.31
2026-02-19,와이드 팬츠,27664,2325,0.42
2026-02-26,와이드 팬츠,26916,170,0.92
2026-03-05,와이드 팬츠,24075,1762,0.49
2026-03-12,와이드 팬츠,24876,611,0.68
2026-03-19,와이드 팬츠,26942,2480,0.58
2026-03-26,와이드 팬츠,25632,1996,0.42
2026-04-02,와이드 팬츠,21636,514,0.37
2026-04-09,와이드 팬츠,25091,976,0.6
2026-04-16,와이드 팬츠,22994,1511,0.23
2026-04-23,와이드 팬츠,19853,932,0.92
2026-04-30,와이드 팬츠,19756,1473,0.26
2026-05-07,와이드 팬츠,19231,1817,0.91
2026-05-14,와이드 팬츠,16491,1014,0.75
2026-05-21,와이드 팬츠,14521,134,0.51
2026-05-28,와이드 팬츠,15251,1334,0.49
2026-06-04,와이드 팬츠,13288,1769,0.47
2026-06-11,와이드 팬츠,12252,1119,0.35
2026-06-18,와이드 팬츠,10326,2736,0.72
2026-06-25,와이드 팬츠,9392,1398,0.47
2026-01-01,린넨 셔츠,17906,823,0.52
2026-01-08,린넨 셔츠,21697,2709,0.74
2026-01-15,린넨 셔츠,26806,1782,0.9
2026-01-22,린넨 셔츠,35066,623,0.57
2026-01-29,린넨 셔츠,50773,388,0.93
2026-02-05,린넨 셔츠,62655,674,0.42
2026-02-12,린넨 셔츠,76078,1541,0.92
2026-02-19,린넨 셔츠,102536,2021,0.4
2026-02-26,린넨 셔츠,127681,2095,0.71
2026-03-05,린넨 셔츠,148636,1422,0.43
2026-03-12,린넨 셔츠,180427,1146,0.72
2026-03-19,린넨 셔츠,216520,824,0.28
2026-03-26,린넨 셔츠,283958,1417,0.23
2026-04-02,린넨 셔츠,319720,207,0.45
2026-04-09,린넨 셔츠,347226,108,0.62
2026-04-16,린넨 셔츠,445335,1327,0.29
2026-04-23,린넨 셔츠,539970,2921,0.71
2026-04-30,린넨 셔츠,557462,2314,0.69
2026-05-07,린넨 셔츠,660088,1256,0.63
2026-05-14,린넨 셔츠,684025,2939,0.31
2026-05-21,린넨 셔츠,926599,780,0.24
2026-05-28,린넨 셔츠,917555,1979,0.62
2026-06-04,린넨 셔츠,1057550,2751,0.74
2026-06-11,린넨 셔츠,1231980,363,0.67
2026-06-18,린넨 셔츠,1276541,178,0.91
2026-06-25,린넨 셔츠,1455148,2569,0.59
2026-01-01,하객룩 원피스,5723,1961,0.4
2026-01-08,하객룩 원피스,6873,2679,0.54
2026-01-15,하객룩 원피스,8293,1619,0.37
2026-01-22,하객룩 원피스,8858,2322,0.42
2026-01-29,하객룩 원피스,10526,2557,0.78
2026-02-05,하객룩 원피스,10206,532,0.46
2026-02-12,하객룩 원피스,10739,1273,0.25
2026-02-19,하객룩 원피스,13082,1506,0.51
2026-02-26,하객룩 원피스,14368,1858,0.78
2026-03-05,하객룩 원피스,13940,2805,0.6
2026-03-12,하객룩 원피스,15231,2779,0.51
2026-03-19,하객룩 원피스,17129,72,0.87
2026-03-26,하객룩 원피스,17708,1076,0.83
2026-04-02,하객룩 원피스,17294,996,0.78
2026-04-09,하객룩 원피스,18942,1635,0.21
2026-04-16,하객룩 원피스,18193,2781,0.29
2026-04-23,하객룩 원피스,16782,724,0.62
2026-04-30,하객룩 원피스,19979,874,0.63
2026-05-07,하객룩 원피스,19578,680,0.64
2026-05-14,하객룩 원피스,17899,1578,0.86
2026-05-21,하객룩 원피스,17758,2906,0.32
2026-05-28,하객룩 원피스,18442,1128,0.41
2026-06-04,하객룩 원피스,17673,2843,0.26
2026-06-11,하객룩 원피스,16369,641,0.61
2026-06-18,하객룩 원피스,15096,2505,0.95
2026-06-25,하객룩 원피스,16003,2677,0.63
2026-01-01,오버핏 코트,48961,853,0.4
2026-01-08,오버핏 코트,43669,1464,0.49
2026-01-15,오버핏 코트,45222,2000,0.6
2026-01-22,오버핏 코트,41741,2084,0.64
2026-01-29,오버핏 코트,38423,1946,0.58
2026-02-05,오버핏 코트,39209,1704,0.62
2026-02-12,오버핏 코트,40832,399,0.76
2026-02-19,오버핏 코트,37591,1139,0.82
2026-02-26,오버핏 코트,39807,1761,0.87
2026-03-05,오버핏 코트,39191,1120,0.21
2026-03-12,오버핏 코트,35393,358,0.81
2026-03-19,오버핏 코트,32062,2890,0.64
2026-03-26,오버핏 코트,36484,964,0.34
2026-04-02,오버핏 코트,33744,2656,0.58
2026-04-09,오버핏 코트,34246,1644,0.28
2026-04-16,오버핏 코트,31637,2509,0.31
2026-04-23,오버핏 코트,28633,1536,0.74
2026-04-30,오버핏 코트,26838,1468,0.73
2026-05-07,오버핏 코트,27270,538,0.83
2026-05-14,오버핏 코트,27985,438,0.26
