order_id,line_no,order_time,customer_id,product_id,quantity,unit_price,discount_rate,status,channel
O000001,1,2026-01-01T16:12,C0220,P050,1,84000,0.0,completed,web
O000002,1,2026-01-01T14:00,C0431,P077,1,69000,0.0,completed,web
O000003,1,2026-01-01T11:06,C0451,P008,1,279000,0.0,completed,app
O000003,2,2026-01-01T11:06,C0451,P064,1,127000,0.0,completed,app
O000004,1,2026-01-01T20:48,C0085,P008,1,279000,0.0,completed,web
O000004,2,2026-01-01T20:48,C0085,P001,1,193000,0.0,completed,web
O000004,3,2026-01-01T20:48,C0085,P070,1,114000,0.0,completed,web
O000005,1,2026-01-01T14:38,C0397,P040,1,44000,0.0,returned,app
O000006,1,2026-01-01T13:11,C0477,P043,1,91000,0.0,cancelled,app
O000007,1,2026-01-01T09:54,C0171,P017,1,274000,0.0,completed,app
O000008,1,2026-01-01T15:26,C0583,P004,1,157000,0.0,completed,app
O000008,2,2026-01-01T15:26,C0583,P064,1,127000,0.0,completed,app
O000009,1,2026-01-01T10:59,C0167,P035,1,49000,0.0,completed,app
O000010,1,2026-01-01T17:35,C0383,P004,1,157000,0.0,completed,app
O000010,2,2026-01-01T17:35,C0383,P008,1,279000,0.0,completed,app
O000011,1,2026-01-01T19:52,C0114,P011,1,265000,0.0,completed,app
O000011,2,2026-01-01T19:52,C0114,P003,1,136000,0.0,completed,app
O000011,3,2026-01-01T19:52,C0114,P017,1,274000,0.0,completed,app
O000012,1,2026-01-01T17:31,C0456,P017,1,274000,0.0,returned,app
O000012,2,2026-01-01T17:31,C0456,P075,1,81000,0.0,returned,app
O000013,1,2026-01-01T07:05,C0010,P021,1,72000,0.0,completed,web
O000014,1,2026-01-01T14:20,C0438,P039,1,45000,0.0,completed,web
O000015,1,2026-01-01T12:55,C0271,P001,1,193000,0.0,completed,app
O000015,2,2026-01-01T12:55,C0271,P044,1,85000,0.0,completed,app
O000016,1,2026-01-01T10:17,C0089,P046,1,59000,0.0,completed,app
O000017,1,2026-01-01T09:40,C0109,P059,1,95000,0.0,cancelled,app
O000018,1,2026-01-01T18:05,C0148,P040,1,44000,0.0,completed,app
O000019,1,2026-01-01T19:27,C0430,P055,1,88000,0.0,completed,app
O000019,2,2026-01-01T19:27,C0430,P057,1,92000,0.0,completed,app
O000020,1,2026-01-01T22:09,C0587,P017,1,274000,0.0,completed,app
O000021,1,2026-01-01T12:53,C0099,P008,1,279000,0.0,completed,app
O000021,2,2026-01-01T12:53,C0099,P073,1,75000,0.0,completed,app
O000022,1,2026-01-01T16:44,C0573,P016,1,169000,0.0,completed,web
O000023,1,2026-01-01T18:37,C0099,P074,1,107000,0.0,completed,app
O000023,2,2026-01-01T18:37,C0099,P016,1,169000,0.0,completed,app
O000024,1,2026-01-01T18:04,C0573,P053,3,100000,0.0,completed,web
O000024,2,2026-01-01T18:04,C0573,P009,1,194000,0.0,completed,web
O000024,3,2026-01-01T18:04,C0573,P040,1,44000,0.0,completed,web
O000025,1,2026-01-01T13:07,C0450,P042,1,85000,0.0,completed,web
O000025,2,2026-01-01T13:07,C0450,P042,1,85000,0.0,completed,web
O000026,1,2026-01-01T16:01,C0377,P028,1,39000,0.0,completed,web
O000027,1,2026-01-01T15:26,C0587,P080,1,109000,0.0,completed,app
O000028,1,2026-01-01T23:13,C0186,P001,1,193000,0.0,completed,app
O000028,2,2026-01-01T23:13,C0186,P008,1,279000,0.0,completed,app
O000029,1,2026-01-01T11:27,C0109,P008,1,279000,0.0,completed,app
O000030,1,2026-01-01T16:14,C0249,P027,1,63000,0.0,returned,app
O000031,1,2026-01-01T13:07,C0403,P008,1,279000,0.0,completed,web
O000031,2,2026-01-01T13:07,C0403,P027,1,63000,0.0,completed,web
O000032,1,2026-01-01T18:49,C0596,P075,1,81000,0.0,completed,web
O000032,2,2026-01-01T18:49,C0596,P021,1,72000,0.0,completed,web
O000033,1,2026-01-01T12:28,C0068,P038,1,38000,0.0,completed,app
O000034,1,2026-01-01T14:44,C0186,P008,1,279000,0.0,completed,app
O000034,2,2026-01-01T14:44,C0186,P001,1,193000,0.0,completed,app
O000035,1,2026-01-01T06:24,C0265,P015,1,222000,0.0,completed,web
O000036,1,2026-01-01T11:27,C0077,P008,1,279000,0.0,completed,app
O000037,1,2026-01-01T12:58,C0265,P017,1,274000,0.0,completed,web
O000038,1,2026-01-01T16:39,C0127,P040,1,44000,0.0,cancelled,app
O000039,1,2026-01-01T07:21,C0600,P062,1,86000,0.0,completed,app
O000040,1,2026-01-01T18:53,C0162,P010,1,263000,0.0,cancelled,web
O000041,1,2026-01-01T19:23,C0496,P027,1,63000,0.0,completed,app
O000042,1,2026-01-01T18:25,C0535,P040,1,44000,0.0,completed,app
O000043,1,2026-01-01T16:31,C0058,P073,1,75000,0.0,completed,app
O000044,1,2026-01-02T13:13,C0341,P042,1,85000,0.0,completed,app
O000045,1,2026-01-02T21:41,C0300,P040,1,44000,0.0,returned,web
O000046,1,2026-01-02T17:06,C0335,P037,1,49000,0.0,completed,web
O000047,1,2026-01-02T13:28,C0468,P006,1,275000,0.0,completed,web
O000048,1,2026-01-02T12:00,C0493,P017,1,274000,0.0,returned,web
O000048,2,2026-01-02T12:00,C0493,P004,1,157000,0.0,returned,web
O000049,1,2026-01-02T18:35,C0163,P016,1,169000,0.0,returned,app
O000050,1,2026-01-02T11:14,C0265,P021,1,72000,0.0,completed,web
O000051,1,2026-01-02T14:26,C0333,P048,1,92000,0.0,completed,app
O000052,1,2026-01-02T22:50,C0068,P055,1,88000,0.0,completed,app
O000053,1,2026-01-02T18:05,C0005,P008,1,279000,0.0,completed,app
O000053,2,2026-01-02T18:05,C0005,P016,1,169000,0.0,completed,app
O000054,1,2026-01-02T16:31,C0353,P017,1,274000,0.0,returned,web
O000055,1,2026-01-02T14:53,C0595,P038,1,38000,0.0,completed,app
O000056,1,2026-01-02T10:50,C0463,P052,1,74000,0.0,completed,web
O000057,1,2026-01-02T18:37,C0429,P069,1,122000,0.0,completed,app
O000057,2,2026-01-02T18:37,C0429,P003,1,136000,0.0,completed,app
O000058,1,2026-01-02T05:04,C0333,P040,1,44000,0.0,completed,web
O000058,2,2026-01-02T05:04,C0333,P048,1,92000,0.0,completed,web
O000058,3,2026-01-02T05:04,C0333,P045,1,64000,0.0,completed,web
O000059,1,2026-01-02T16:33,C0346,P008,1,279000,0.0,completed,web
O000060,1,2026-01-02T06:51,C0044,P063,1,124000,0.0,completed,app
O000061,1,2026-01-02T16:39,C0170,P052,1,74000,0.0,completed,app
O000062,1,2026-01-02T11:41,C0001,P017,1,274000,0.0,completed,web
O000062,2,2026-01-02T11:41,C0001,P016,1,169000,0.0,completed,web
O000063,1,2026-01-02T13:56,C0074,P055,1,88000,0.0,completed,web
O000064,1,2026-01-02T23:44,C0595,P028,1,39000,0.0,completed,app
O000065,1,2026-01-02T18:43,C0393,P020,1,41000,0.0,completed,app
O000066,1,2026-01-02T13:26,C0499,P027,1,63000,0.0,completed,app
O000067,1,2026-01-02T16:12,C0452,P059,1,95000,0.0,completed,web
O000068,1,2026-01-02T20:46,C0430,P056,1,61000,0.0,completed,app
O000068,2,2026-01-02T20:46,C0430,P055,1,88000,0.0,completed,app
O000069,1,2026-01-02T09:15,C0066,P012,1,138000,0.0,completed,app
O000069,2,2026-01-02T09:15,C0066,P011,1,265000,0.0,completed,app
O000070,1,2026-01-02T08:38,C0112,P038,1,38000,0.0,completed,web
O000071,1,2026-01-02T07:32,C0583,P072,1,95000,0.0,completed,app
O000071,2,2026-01-02T07:32,C0583,P068,1,117000,0.0,completed,app
O000072,1,2026-01-02T14:45,C0061,P048,1,92000,0.0,completed,app
O000072,2,2026-01-02T14:45,C0061,P008,2,279000,0.0,completed,app
O000073,1,2026-01-02T07:33,C0465,P069,1,122000,0.0,cancelled,app
O000074,1,2026-01-02T17:51,C0133,P048,1,92000,0.0,completed,web
O000075,1,2026-01-02T14:31,C0068,P073,1,75000,0.0,cancelled,app
O000076,1,2026-01-02T09:18,C0321,P002,1,163000,0.0,completed,app
O000077,1,2026-01-02T13:11,C0509,P043,3,91000,0.0,completed,web
O000078,1,2026-01-02T14:38,C0247,P040,1,44000,0.0,completed,app
O000079,1,2026-01-02T15:09,C0587,P054,1,50000,0.0,completed,app
O000080,1,2026-01-02T09:22,C0572,P045,1,64000,0.0,completed,web
O000081,1,2026-01-02T16:27,C0160,P029,2,39000,0.0,completed,app
O000082,1,2026-01-02T13:33,C0018,P040,1,44000,0.0,completed,app
O000083,1,2026-01-02T10:22,C0423,P040,1,44000,0.0,completed,web
O000084,1,2026-01-02T15:44,C0068,P078,1,108000,0.0,completed,app
O000085,1,2026-01-02T15:30,C0468,P017,1,274000,0.0,completed,web
O000086,1,2026-01-02T16:35,C0018,P003,1,136000,0.0,completed,app
O000087,1,2026-01-02T16:24,C0053,P017,1,274000,0.0,completed,web
O000087,2,2026-01-02T16:24,C0053,P028,1,39000,0.0,completed,web
O000087,3,2026-01-02T16:24,C0053,P043,1,91000,0.0,completed,web
O000088,1,2026-01-02T20:52,C0595,P075,1,81000,0.0,completed,app
O000089,1,2026-01-02T13:28,C0452,P001,1,193000,0.0,completed,web
O000090,1,2026-01-02T12:55,C0265,P012,1,138000,0.0,cancelled,web
O000090,2,2026-01-02T12:55,C0265,P008,1,279000,0.0,cancelled,web
O000091,1,2026-01-02T10:18,C0526,P068,1,117000,0.0,completed,web
O000092,1,2026-01-02T06:54,C0438,P012,1,138000,0.0,completed,web
O000093,1,2026-01-02T13:48,C0383,P008,1,279000,0.0,completed,web
O000094,1,2026-01-02T16:20,C0283,P055,1,88000,0.0,completed,web
O000094,2,2026-01-02T16:20,C0283,P057,1,92000,0.0,completed,web
O000095,1,2026-01-02T20:09,C0522,P017,1,274000,0.0,completed,app
O000096,1,2026-01-02T09:13,C0196,P042,1,85000,0.0,completed,app
O000097,1,2026-01-02T15:46,C0066,P001,1,193000,0.0,completed,web
O000098,1,2026-01-02T12:35,C0213,P075,1,81000,0.0,completed,web
O000098,2,2026-01-02T12:35,C0213,P073,1,75000,0.0,completed,web
O000099,1,2026-01-02T09:46,C0383,P052,1,74000,0.0,completed,app
O000100,1,2026-01-02T10:18,C0335,P058,1,99000,0.0,completed,web
O000101,1,2026-01-03T11:30,C0188,P043,1,91000,0.0,returned,web
O000102,1,2026-01-03T08:30,C0333,P043,1,91000,0.0,completed,app
O000103,1,2026-01-03T17:20,C0481,P040,1,44000,0.0,returned,app
O000104,1,2026-01-03T19:22,C0265,P080,1,109000,0.0,completed,web
O000105,1,2026-01-03T13:51,C0496,P001,1,193000,0.0,completed,app
O000106,1,2026-01-03T20:37,C0129,P043,1,91000,0.0,completed,app
O000107,1,2026-01-03T11:45,C0282,P068,1,117000,0.0,completed,web
O000108,1,2026-01-03T12:45,C0595,P037,1,49000,0.0,completed,app
O000108,2,2026-01-03T12:45,C0595,P029,1,39000,0.0,completed,app
O000108,3,2026-01-03T12:45,C0595,P040,1,44000,0.0,completed,app
O000109,1,2026-01-03T10:36,C0033,P061,1,115000,0.0,completed,web
O000109,2,2026-01-03T10:36,C0033,P048,1,92000,0.0,completed,web
O000109,3,2026-01-03T10:36,C0033,P061,1,115000,0.0,completed,web
O000110,1,2026-01-03T17:50,C0339,P013,1,271000,0.0,completed,app
O000111,1,2026-01-03T18:24,C0005,P017,1,274000,0.0,completed,app
O000112,1,2026-01-03T15:35,C0113,P008,1,279000,0.0,completed,web
O000113,1,2026-01-03T22:11,C0123,P027,1,63000,0.0,completed,web
O000113,2,2026-01-03T22:11,C0123,P028,1,39000,0.0,completed,web
O000114,1,2026-01-03T16:07,C0183,P076,1,101000,0.0,completed,web
O000115,1,2026-01-03T13:27,C0596,P068,1,117000,0.0,cancelled,web
O000115,2,2026-01-03T13:27,C0596,P064,1,127000,0.0,cancelled,web
O000116,1,2026-01-03T18:46,C0335,P026,1,48000,0.0,returned,web
O000117,1,2026-01-03T15:09,C0188,P060,1,82000,0.0,completed,web
O000118,1,2026-01-03T18:54,C0572,P028,1,39000,0.0,completed,web
O000119,1,2026-01-03T16:35,C0114,P011,1,265000,0.0,completed,web
O000120,1,2026-01-03T04:07,C0179,P061,1,115000,0.0,completed,app
O000121,1,2026-01-03T21:03,C0243,P049,1,78000,0.0,completed,web
O000122,1,2026-01-03T04:05,C0418,P017,1,274000,0.0,completed,app
O000123,1,2026-01-03T17:15,C0173,P008,1,279000,0.0,returned,web
O000124,1,2026-01-03T17:49,C0515,P006,1,275000,0.0,completed,web
O000125,1,2026-01-03T16:01,C0108,P017,1,274000,0.0,completed,app
O000126,1,2026-01-03T22:39,C0376,P008,1,279000,0.0,completed,app
O000127,1,2026-01-03T11:26,C0057,P064,1,127000,0.0,completed,app
O000128,1,2026-01-03T17:53,C0595,P028,1,39000,0.0,completed,app
O000129,1,2026-01-03T16:46,C0570,P046,1,59000,0.0,returned,web
O000130,1,2026-01-03T10:45,C0445,P004,1,157000,0.0,completed,web
O000131,1,2026-01-03T04:06,C0452,P043,1,91000,0.0,completed,web
O000132,1,2026-01-03T07:48,C0451,P066,1,110000,0.0,completed,app
O000133,1,2026-01-03T17:46,C0482,P017,3,274000,0.0,completed,web
O000134,1,2026-01-03T18:16,C0171,P045,1,64000,0.0,completed,app
O000134,2,2026-01-03T18:16,C0171,P059,1,95000,0.0,completed,app
O000135,1,2026-01-03T07:59,C0018,P017,1,274000,0.0,completed,web
