rank,product_name,price
1,핑크 오버핏 데일리 블라우스,"77,000원"
2,[노르딕] 카키 와이드 린넨 반팔 블라우스,"133,000원"
3,롱 린넨 블라우스,"96,000원"
4,와이드 세트 티셔츠,"44,000원"
5,베이직 코튼 여름 스커트 (3COLOR),"69,000원"
6,[세컨드] 베이직 코튼 바라클라바 자켓,"165,000원"
7,카키 베이직 라운드 블라우스,"195,000원"
8,[노르딕] 오버핏 팬츠,"32,000원"
9,화이트 크롭 레이온 데일리 가디건 (6COLOR),"230,000원"
10,베이지 세미와이드 시어서커 니트,"239,000원"
11,발레코어 스커트,"237,000원"
12,발레코어 여름 티셔츠 (3COLOR),"136,000원"
13,[루트] 블랙 와이드 라운드 원피스 (7COLOR),"112,000원"
14,발레코어 린넨 바라클라바 자켓,"237,000원"
15,크롭 린넨 원피스,"112,000원"
16,[노르딕] 버터 와이드 바라클라바 슬랙스 (4COLOR),"104,000원"
17,[포레스트] 와이드 팬츠,"231,000원"
18,화이트 발레코어 울 셔츠,"250,000원"
19,[노르딕] 핑크 크롭 하객룩 티셔츠 (2COLOR),"88,000원"
20,카키 루즈핏 레이온 블라우스,"250,000원"
21,[루트] 화이트 와이드 시어서커 세트 슬랙스,"52,000원"
22,[노르딕] 블랙 발레코어 린넨 반팔 티셔츠 (5COLOR),"243,000원"
23,핑크 와이드 슬랙스,"103,000원"
24,[블랑] 와이드 코튼 여름 셔츠 (7COLOR),"165,000원"
25,[블랑] 세미와이드 울 썸머 니트,"235,000원"
26,[노르딕] 와이드 바라클라바 니트,"179,000원"
27,[세컨드] 블랙 발레코어 시어서커 슬랙스,"115,000원"
28,루즈핏 데님 세트 니트,"168,000원"
29,[노르딕] 핑크 발레코어 데님 바라클라바 팬츠 (5COLOR),"31,000원"
30,와이드 린넨 셔츠,"111,000원"
31,[루트] 베이지 세미와이드 슬랙스,"26,000원"
32,카키 세미와이드 데님 팬츠,"77,000원"
33,[노르딕] 블랙 루즈핏 린넨 슬랙스,"61,000원"
34,핑크 베이직 울 가디건 (5COLOR),"22,000원"
35,화이트 와이드 레이온 니트 (6COLOR),"186,000원"
36,[블랑] 크롭 스커트,"198,000원"
37,[노르딕] 루즈핏 린넨 라운드 티셔츠,"39,000원"
38,오버핏 린넨 팬츠,"56,000원"
39,블랙 와이드 시어서커 반팔 자켓 (3COLOR),"105,000원"
40,블랙 발레코어 린넨 반팔 가디건,"115,000원"
41,루즈핏 바라클라바 원피스,"152,000원"
42,[블랑] 화이트 루즈핏 데일리 니트,"72,000원"
43,핑크 롱 린넨 썸머 슬랙스 (2COLOR),"162,000원"
