review_id,product_id,customer_id,created_at,rating,size_purchased,height_cm,weight_kg,fit,text,aspect_labels
R00001,P028,C0595,2026-01-17,5,L,175,58,true_to_size,포장이 꼼꼼했어요. 두께감이 적당해요.,delivery:pos;material:pos
R00002,P030,C0068,2026-05-27,2,L,182,68,true_to_size,원단이 뻣뻣해요. 화면과 색이 달라요.,material:neg;color:neg
R00003,P080,C0346,2026-01-29,4,FREE,163,57,true_to_size,포장이 꼼꼼했어요.,delivery:pos
R00004,P013,C0515,2026-05-17,5,S,168,67,small,가격 대비 만족해요. 색감이 고급스러워요.,price:pos;color:pos
R00005,P029,C0412,2026-06-24,3,XL,157,59,large,한 치수 크게 사야 해요. 세일가에 잘 샀어요.,size:neg;price:pos
R00006,P052,C0068,2026-05-04,4,M,167,76,small,기장이 너무 길어요. 배송이 빨라요.,size:neg;delivery:pos
R00007,P048,C0477,2026-01-21,5,L,161,77,true_to_size,세일가에 잘 샀어요. 원단이 고급스러워요.,price:pos;material:pos
R00008,P042,C0418,2026-06-19,5,S,174,61,small,색감이 고급스러워요. 배송이 빨라요.,color:pos;delivery:pos
R00009,P048,C0259,2026-06-16,3,S,161,48,true_to_size,포장이 꼼꼼했어요. 핏이 예쁘게 떨어져요. 이 가격이면 다른 데가 나아요.,delivery:pos;size:pos;price:neg
R00010,P038,C0361,2026-05-06,4,S,159,49,large,배송이 빨라요. 소재가 얇고 비쳐요. 색상이 화면과 똑같아요.,delivery:pos;material:neg;color:pos
R00011,P001,C0279,2026-04-09,3,S,159,58,small,사이즈가 생각보다 작아요. 가격 대비 만족해요.,size:neg;price:pos
R00012,P032,C0312,2026-05-15,2,L,174,57,large,사이즈가 생각보다 작아요. 세일가에 잘 샀어요. 화면과 색이 달라요.,size:neg;price:pos;color:neg
R00013,P040,C0186,2026-01-20,4,M,165,65,small,두께감이 적당해요.,material:pos
R00014,P030,C0250,2026-05-24,5,S,161,63,true_to_size,가격 대비 만족해요. 색상이 화면과 똑같아요.,price:pos;color:pos
R00015,P066,C0275,2026-03-12,3,M,167,53,true_to_size,소재가 얇고 비쳐요.,material:neg
R00016,P010,C0218,2026-04-09,5,S,168,48,small,색상이 화면과 똑같아요.,color:pos
R00017,P008,C0333,2026-01-27,4,XL,170,64,large,가격 대비 만족해요. 기장이 너무 길어요.,price:pos;size:neg
R00018,P066,C0429,2026-05-08,5,M,161,54,true_to_size,포장이 꼼꼼했어요. 세일가에 잘 샀어요. 두께감이 적당해요.,delivery:pos;price:pos;material:pos
R00019,P017,C0366,2026-01-30,4,M,170,53,true_to_size,가격 대비 만족해요. 사이즈가 딱 맞아요.,price:pos;size:pos
R00020,P028,C0583,2026-03-29,3,M,160,52,true_to_size,박스가 찌그러져 왔어요.,delivery:neg
R00021,P015,C0368,2026-01-26,3,M,155,62,large,포장이 꼼꼼했어요. 기장이 너무 길어요.,delivery:pos;size:neg
R00022,P073,C0467,2026-03-18,5,FREE,163,54,true_to_size,색감이 고급스러워요. 소재가 부드럽고 촉감이 좋아요.,color:pos;material:pos
R00023,P016,C0346,2026-04-08,3,M,168,40,true_to_size,이 가격이면 다른 데가 나아요. 배송이 빨라요.,price:neg;delivery:pos
R00024,P038,C0123,2026-05-27,3,S,176,68,small,사이즈가 생각보다 작아요.,size:neg
R00025,P036,C0099,2026-06-28,2,L,163,67,large,소재가 얇고 비쳐요. 박스가 찌그러져 왔어요.,material:neg;delivery:neg
R00026,P052,C0077,2026-03-07,3,M,170,51,true_to_size,가격 대비 만족해요. 박스가 찌그러져 왔어요.,price:pos;delivery:neg
R00027,P008,C0592,2026-01-28,5,S,161,67,small,가격 대비 만족해요. 포장이 꼼꼼했어요. 원단이 고급스러워요.,price:pos;delivery:pos;material:pos
R00028,P040,C0206,2026-04-01,5,S,167,68,small,세일가에 잘 샀어요. 한 치수 크게 사야 해요. 포장이 꼼꼼했어요.,price:pos;size:neg;delivery:pos
R00029,P004,C0582,2026-04-23,5,L,173,59,large,두께감이 적당해요.,material:pos
R00030,P050,C0587,2026-04-14,4,XL,159,51,large,소재가 얇고 비쳐요. 배송이 빨라요.,material:neg;delivery:pos
R00031,P001,C0321,2026-02-07,5,M,160,61,true_to_size,세일가에 잘 샀어요. 원단이 고급스러워요.,price:pos;material:pos
R00032,P001,C0564,2026-03-29,3,M,153,52,large,화면과 색이 달라요. 소재가 부드럽고 촉감이 좋아요.,color:neg;material:pos
R00033,P061,C0046,2026-05-10,4,L,177,92,small,이 가격이면 다른 데가 나아요. 소재가 부드럽고 촉감이 좋아요.,price:neg;material:pos
R00034,P055,C0320,2026-04-04,3,S,164,65,small,원단이 뻣뻣해요. 색감이 고급스러워요.,material:neg;color:pos
R00035,P040,C0129,2026-05-31,3,M,165,68,small,배송이 빨라요. 기장이 너무 길어요.,delivery:pos;size:neg
R00036,P013,C0192,2026-07-11,4,L,162,53,large,세일가에 잘 샀어요. 두께감이 적당해요.,price:pos;material:pos
R00037,P045,C0595,2026-05-07,5,XL,158,64,large,두께감이 적당해요.,material:pos
R00038,P013,C0418,2026-03-15,5,S,164,47,true_to_size,세일가에 잘 샀어요.,price:pos
R00039,P040,C0167,2026-02-27,3,S,183,69,small,사이즈가 생각보다 작아요.,size:neg
R00040,P008,C0186,2026-01-09,5,S,155,51,true_to_size,색상이 화면과 똑같아요. 사이즈가 딱 맞아요.,color:pos;size:pos
R00041,P055,C0283,2026-07-03,3,L,159,50,large,가격 대비 만족해요. 사이즈가 생각보다 작아요.,price:pos;size:neg
R00042,P008,C0213,2026-01-16,4,M,160,47,true_to_size,사이즈가 딱 맞아요. 소재가 얇고 비쳐요.,size:pos;material:neg
R00043,P080,C0183,2026-03-11,5,FREE,168,84,true_to_size,두께감이 적당해요. 색상이 화면과 똑같아요.,material:pos;color:pos
R00044,P008,C0321,2026-01-22,5,S,165,54,true_to_size,색상이 화면과 똑같아요.,color:pos
R00045,P008,C0357,2026-01-29,4,M,169,44,true_to_size,두께감이 적당해요. 가격 대비 만족해요.,material:pos;price:pos
R00046,P008,C0182,2026-01-30,4,XL,173,75,true_to_size,핏이 예쁘게 떨어져요. 색감이 고급스러워요. 가격 대비 만족해요.,size:pos;color:pos;price:pos
R00047,P006,C0351,2026-02-19,4,L,169,47,large,사이즈가 생각보다 작아요. 세일가에 잘 샀어요.,size:neg;price:pos
R00048,P023,C0214,2026-04-17,3,M,163,50,large,원단이 뻣뻣해요. 포장이 꼼꼼했어요.,material:neg;delivery:pos
R00049,P011,C0461,2026-06-08,5,XL,180,60,large,색상이 화면과 똑같아요.,color:pos
R00050,P049,C0333,2026-01-13,2,M,174,46,true_to_size,색상이 사진보다 어두워요.,color:neg
R00051,P006,C0418,2026-04-03,3,M,164,45,large,색감이 고급스러워요. 배송이 일주일 넘게 걸렸어요.,color:pos;delivery:neg
R00052,P016,C0382,2026-05-13,4,L,171,60,true_to_size,포장이 꼼꼼했어요. 가격에 비해 아쉬워요.,delivery:pos;price:neg
R00053,P038,C0467,2026-05-15,3,L,148,67,large,가격에 비해 아쉬워요. 포장이 꼼꼼했어요.,price:neg;delivery:pos
R00054,P048,C0502,2026-01-17,5,M,162,51,large,색감이 고급스러워요.,color:pos
R00055,P037,C0388,2026-04-30,5,S,171,63,small,소재가 부드럽고 촉감이 좋아요.,material:pos
R00056,P064,C0057,2026-01-16,5,S,181,70,small,포장이 꼼꼼했어요. 가격 대비 만족해요.,delivery:pos;price:pos
R00057,P032,C0274,2026-01-31,3,S,182,67,small,화면과 색이 달라요. 기장이 너무 길어요.,color:neg;size:neg
R00058,P059,C0215,2026-01-23,2,L,170,58,true_to_size,기장이 너무 길어요.,size:neg
R00059,P040,C0079,2026-06-01,4,S,175,66,small,가격 대비 만족해요.,price:pos
R00060,P040,C0482,2026-04-09,5,L,151,46,large,원단이 고급스러워요.,material:pos
R00061,P007,C0249,2026-02-02,2,M,183,75,small,배송이 일주일 넘게 걸렸어요. 기장이 너무 길어요.,delivery:neg;size:neg
R00062,P007,C0320,2026-02-13,5,S,169,64,small,원단이 고급스러워요.,material:pos
R00063,P043,C0214,2026-06-29,5,S,168,53,true_to_size,소재가 부드럽고 촉감이 좋아요. 배송이 빨라요.,material:pos;delivery:pos
R00064,P055,C0057,2026-04-20,5,L,172,82,true_to_size,배송이 빨라요. 핏이 예쁘게 떨어져요.,delivery:pos;size:pos
