order_id,order_date,customer_id,product_id,quantity,unit_price,status
O1001,2026-04-02,C001,P501,1,259000,completed
O1002,2026-04-02,C002,P505,1,89000,completed
O1003,2026-04-03,C003,P506,1,109000,returned
O1004,2026-04-04,C004,P501,1,239000,completed
O1005,2026-04-04,C005,P507,2,59000,completed
O1006,2026-04-05,C001,P508,1,149000,cancelled
O1007,2026-04-07,C006,P503,1,189000,completed
O1008,2026-04-08,C008,P502,1,219000,returned
O1009,2026-04-10,C004,P504,1,99000,completed
O1010,2026-04-12,C002,P501,1,259000,completed
O1011,2026-04-14,C005,P505,1,79000,completed
O1012,2026-04-15,C006,P507,1,59000,completed
